key,value
Player Software Version,1.16.71
Data Format Version,1.16
Export Date,18.11.2019
Export Time,15:10:13
Frame Index Range:,2903 - 15366
Relative Time Range,01:40.019 - 08:45.031
Absolute Time Range,151.5485349999999 - 576.5601550000001
