key,value
Player Software Version,1.21.5
Data Format Version,1.16
Export Date,28.02.2020
Export Time,14:12:03
Frame Index Range:,4182 - 46083
Relative Time Range,02:30.018 - 26:04.436
Absolute Time Range,1758.9320340000559 - 3173.3493180000223
