1,0.03,180,10,180,1,83,1.4068
2,0.03,0,10,180,0,89,1.5085
3,0.63,0,10,0,1,64,1.0847
4,0.03,0,10,0,1,80,1.3559
5,0.03,0,10,0,1,68,1.1525
6,0.63,180,10,0,0,76,1.2881
7,0.03,0,10,0,1,77,1.3051
8,0.33,0,10,0,1,54,0.91525
9,0.63,180,-10,180,1,54,0.91525
10,0.93,0,-10,0,1,79,1.339
11,0.63,180,10,0,0,63,1.0678
12,0.33,0,10,0,1,69,1.1695
13,0.63,0,-10,180,0,58,0.98305
14,0.03,180,-10,180,1,54,0.91525
15,0.93,180,-10,180,1,40,0.67797
16,0.03,0,-10,180,0,51,0.86441
17,0.63,0,10,0,1,52,0.88136
18,0.03,180,10,0,0,50,0.84746
19,0.33,180,-10,180,1,82,1.3898
20,0.93,0,-10,180,0,93,1.5763
21,0.93,180,-10,180,1,55,0.9322
22,0.33,180,10,180,1,71,1.2034
23,0.33,180,-10,180,1,71,1.2034
24,0.93,180,10,0,0,99,1.678
25,0.33,0,10,0,1,61,1.0339
26,0.93,0,10,0,1,53,0.89831
27,0.33,180,10,0,0,56,0.94915
28,0.03,0,-10,180,0,77,1.3051
29,0.93,0,10,0,1,54,0.91525
30,0.03,180,10,180,1,83,1.4068
31,0.63,0,10,0,1,48,0.81356
32,0.63,180,-10,180,1,62,1.0508
33,0.63,180,-10,180,1,65,1.1017
34,0.03,180,-10,0,0,72,1.2203
35,0.93,180,-10,180,1,45,0.76271
36,0.63,0,-10,180,0,74,1.2542
37,0.93,0,-10,180,0,67,1.1356
38,0.63,0,10,0,1,54,0.91525
39,0.03,180,10,180,1,72,1.2203
40,0.93,180,-10,180,1,47,0.79661
41,0.63,180,10,0,0,57,0.9661
42,0.93,180,10,0,0,75,1.2712
43,0.33,0,-10,180,0,67,1.1356
44,0.03,0,-10,180,0,50,0.84746
45,0.93,0,-10,180,0,40,0.67797
46,0.63,0,-10,180,0,73,1.2373
47,0.93,180,-10,180,1,39,0.66102
48,0.33,180,-10,180,1,61,1.0339
49,0.03,180,-10,180,1,54,0.91525
50,0.03,0,-10,180,0,66,1.1186
51,0.03,180,-10,180,1,55,0.9322
52,0.93,180,-10,180,1,42,0.71186
53,0.93,0,10,0,1,55,0.9322
54,0.03,0,-10,180,0,52,0.88136
55,0.63,0,-10,180,0,43,0.72881
56,0.63,0,10,0,1,54,0.91525
57,0.93,0,10,0,1,43,0.72881
58,0.03,0,-10,180,0,61,1.0339
59,0.93,180,10,0,0,36,0.61017
60,0.63,180,10,0,0,54,0.91525
61,0.03,0,-10,180,0,55,0.9322
62,0.33,0,10,0,1,56,0.94915
63,0.93,0,-10,180,0,69,1.1695
64,0.03,0,10,0,1,73,1.2373
65,0.03,180,10,180,1,75,1.2712
66,0.63,0,-10,180,0,57,0.9661
67,0.03,0,-10,180,0,70,1.1864
68,0.33,180,-10,180,1,52,0.88136
69,0.93,0,-10,180,0,50,0.84746
70,0.03,180,-10,180,1,68,1.1525
71,0.33,0,10,0,1,70,1.1864
72,0.63,180,-10,180,1,58,0.98305
73,0.93,180,-10,180,1,45,0.76271
74,0.33,180,10,0,0,50,0.84746
75,0.93,0,-10,180,0,57,0.9661
76,0.33,0,10,0,1,60,1.0169
77,0.03,0,10,0,1,59,1
78,0.93,180,10,0,0,57,0.9661
79,0.93,180,-10,180,1,43,0.72881
80,0.33,180,-10,180,1,42,0.71186
81,0.93,180,-10,180,1,38,0.64407
82,0.93,180,-10,180,1,44,0.74576
83,0.93,180,-10,180,1,47,0.79661
84,0.93,180,10,0,0,75,1.2712
85,0.93,180,-10,180,1,39,0.66102
86,0.63,180,10,0,0,47,0.79661
87,0.93,0,10,0,1,47,0.79661
88,0.33,0,-10,180,0,54,0.91525
89,0.33,0,-10,180,0,61,1.0339
90,0.33,0,10,0,1,42,0.71186
91,0.33,0,10,0,1,53,0.89831
92,0.63,0,10,0,1,50,0.84746
93,0.33,180,-10,180,1,64,1.0847
94,0.33,180,10,0,0,69,1.1695
95,0.63,0,10,0,1,64,1.0847
96,0.03,0,-10,180,0,82,1.3898
97,0.33,180,10,180,1,65,1.1017
98,0.93,0,10,0,1,54,0.91525
99,0.33,0,10,0,1,57,0.9661
100,0.33,180,-10,180,1,72,1.2203
101,0.33,180,10,0,0,65,1.1017
102,0.33,0,-10,180,0,72,1.2203
103,0.33,0,-10,180,0,79,1.339
104,0.63,0,10,0,1,53,0.89831
105,0.63,0,-10,180,0,85,1.4407
106,0.33,0,10,0,1,48,0.81356
107,0.33,0,-10,180,0,45,0.76271
108,0.63,0,10,0,1,46,0.77966
109,0.03,0,-10,180,0,68,1.1525
110,0.33,0,-10,180,0,73,1.2373
111,0.03,180,10,0,0,58,0.98305
112,0.93,180,10,0,0,69,1.1695
113,0.33,0,-10,180,0,70,1.1864
114,0.93,0,-10,180,0,52,0.88136
115,0.03,180,-10,180,1,56,0.94915
116,0.03,180,10,0,0,71,1.2034
117,0.63,180,-10,180,1,50,0.84746
118,0.63,0,-10,180,0,63,1.0678
119,0.33,0,-10,180,0,62,1.0508
120,0.33,180,10,0,0,64,1.0847
121,0.63,0,10,0,1,46,0.77966
122,0.63,180,10,0,0,42,0.71186
123,0.03,180,-10,180,1,55,0.9322
124,0.63,0,-10,180,0,42,0.71186
125,0.93,0,-10,180,0,68,1.1525
126,0.93,180,10,0,0,51,0.86441
127,0.33,0,-10,180,0,70,1.1864
128,0.03,0,-10,180,0,59,1
129,0.33,180,-10,180,1,70,1.1864
130,0.63,180,-10,180,1,53,0.89831
